listing_id,card_name,price,date_sold,grading_company,grade,set,rarity,auction_house,sale_type,split,grade_numeric,card_name_encoded,rarity_encoded,roll_mean_7d,roll_median_7d,roll_std_7d,roll_count_7d,roll_mean_14d,roll_median_14d,roll_std_14d,roll_count_14d,roll_mean_30d,roll_median_30d,roll_std_30d,roll_count_30d,momentum_abs_7d,momentum_pct_7d,momentum_abs_14d,momentum_pct_14d,card_volume_7d,card_volume_14d,card_volume_30d,market_volume_7d,market_volume_14d,market_volume_30d,roll_cv_7d,roll_cv_14d,roll_cv_30d,day_of_week,month,days_since_start
ebay-406706554536,Rayquaza,525.0,2026-02-21,PSA,8,,Holo,eBay,BestOffer,test,8,5,0,,,,1,546.6666666666666,600.0,101.15993936995679,3,399.998,430.0,218.8639989125667,5,,,,,1,3,5,50,82,143,,0.18504866957918925,0.5471627330950822,5,2,1877
1790317131501279986,Mewtwo,153.5,2021-10-08,PSA,9,,Standard,eBay,Auction,train,9,3,2,,,,0,,,,0,,,,1,,,,,0,0,1,7,15,40,,,,4,10,280
-7474142186178754313,Mewtwo,592.08,2024-03-09,PSA,10,Pocket Monsters JP,Prism,eBay,Auction,train,10,3,1,,,,0,,,,0,,,,0,,,,,0,0,0,5,5,5,,,,5,3,1163
1444457289483319652,Lugia,2391.0,2021-12-04,PSA,9,Neo Genesis,Holo,eBay,Auction,train,9,2,0,,,,0,,,,1,,,,1,,,,,0,1,1,7,19,29,,,,5,12,337
954997672945214117,Venusaur,45.0,2024-12-07,PSA,8,,Standard,eBay,Auction,train,8,6,2,,,,0,,,,0,,,,0,,,,,0,0,0,35,57,117,,,,5,12,1436
fanatics-weekly-5370936,Pikachu,138.0,2025-09-29,PSA,10,Pocket Monsters JP,Standard,Fanatics Collect,Auction,val,10,4,2,590.0,590.0,190.91883092036784,2,303.8,155.0,279.40060844600896,5,397.0890909090909,430.0,263.68949408175314,11,477.0,422.1238938053097,-171.02999999999992,-36.019206874039114,2,5,11,20,39,95,0.3235912388480811,0.9196860054180677,0.6640562536685801,0,9,1732
ebay-389660858581,Pikachu,4500.0,2026-02-23,PSA,10,Japanese Basic (Base Set JP),Standard,eBay,BestOffer,test,10,4,2,6726.1125,2386.0,8850.405573604618,4,4061.35,2133.45,7090.399285242452,7,3143.1400000000003,1449.975,5988.613754534517,10,6217.779166666667,1223.1696721311478,3060.7,305.8711837305751,4,7,10,59,95,152,1.315827764344503,1.7458232571047685,1.9052965361181864,0,2,1879
-7073086360579107358,Pikachu,19.0,2022-01-22,PSA,8,Japanese Basic (Base Set JP),Standard,eBay,Auction,train,8,4,2,,,,0,,,,1,36.666666666666664,23.5,29.078915614811592,3,,,,,0,1,3,7,20,40,,,0.7930613349494071,5,1,386
1242918341860888187,Mewtwo,130.0,2023-04-30,PSA,9,Pocket Monsters JP,Prism,eBay,Auction,train,9,3,1,,,,1,,,,1,,,,1,,,,,1,1,1,16,21,37,,,,6,4,849
6735354342147304502,Charizard,150.0,2024-08-16,PSA,9,Japanese Team Rocket,Holo,eBay,Auction,train,9,1,0,153.25,153.25,3.8890872965260113,2,152.875,153.25,8.479141072852446,4,145.07333333333332,147.5,33.98052236208267,9,0.75,0.49180327868852464,-1.164999999999992,-0.7562970656972163,2,4,9,15,37,71,0.025377404871295344,0.05546453686248534,0.2342299689496071,4,8,1323
3843835521189655907,Charizard,328.07,2024-11-17,PSA,9,Pocket Monsters JP,Prism,eBay,Auction,train,9,1,1,286.66,286.66,7.0710678118654755,2,286.66,286.66,7.0710678118654755,2,244.21750000000003,286.66,106.88305833168012,4,,,84.88500000000002,42.06913641432289,2,2,4,24,49,101,0.024667089276025518,0.024667089276025518,0.4376551980577973,6,11,1416
fanatics-weekly-5807369,Venusaur,408.0,2026-03-23,PSA,9,Japanese Basic (Base Set JP),Holo,Fanatics Collect,Auction,test,9,6,0,4652.786666666667,432.36,7664.605008513702,3,4652.786666666667,432.36,7664.605008513702,3,2020.41875,373.68,4645.264814331863,8,,,4211.788666666667,955.0584507563908,3,3,8,77,151,302,1.647314944272902,1.647314944272902,2.299159426397059,0,3,1907
ebay-296192863579,Pikachu,593.6,2025-04-29,PSA,9,,Standard,eBay,BestOffer,val,9,4,2,763.85,57.7,1424.1897193375141,4,552.0571428571428,74.4,1061.146214959941,7,456.9333333333333,80.0,938.4221278294751,9,494.18333333333334,183.25710754017302,428.0571428571428,345.20737327188937,4,7,9,20,38,76,1.8644887338319227,1.9221673493219098,2.053739701990389,1,4,1579
-5601241398761174818,Lugia,99.99,2024-12-17,PSA,8,Japanese Neo Genesis,Holo,eBay,Auction,train,8,2,0,,,,0,92.475,92.475,13.399673503485078,2,148.76818181818183,94.0,213.86335856420948,11,,,10.974999999999994,13.466257668711648,0,2,11,16,53,126,,0.14490049746942502,1.437561150176482,1,12,1446
-9211453658067470874,Blastoise,19.1,2024-05-31,PSA,9,,Prism,eBay,Auction,train,9,0,1,,,,0,,,,1,53.77333333333333,35.0,48.468176501012834,3,,,,,0,1,3,16,24,41,,,0.9013422359474244,4,5,1246
